;outline_file_name;outline_file_path;FINAL_GEOUNIT
256;Uganda.png;files/outlines/Uganda.png;Uganda
257;Ukraine.png;files/outlines/Ukraine.png;Ukraine
258;United_Arab_Emirates.png;files/outlines/United_Arab_Emirates.png;United Arab Emirates
259;United_Kingdom.png;files/outlines/United_Kingdom.png;United Kingdom
260;United_States_Virgin_Islands.png;files/outlines/United_States_Virgin_Islands.png;United States Virgin Islands
261;United_States_of_America.png;files/outlines/United_States_of_America.png;United States of America
262;Uruguay.png;files/outlines/Uruguay.png;Uruguay
263;Uzbekistan.png;files/outlines/Uzbekistan.png;Uzbekistan
264;Vanuatu.png;files/outlines/Vanuatu.png;Vanuatu
265;Vatican.png;files/outlines/Vatican.png;Vatican
266;Venezuela.png;files/outlines/Venezuela.png;Venezuela
267;Vietnam.png;files/outlines/Vietnam.png;Vietnam
268;Wake_Atoll.png;files/outlines/Wake_Atoll.png;Wake Atoll
269;Wallis_and_Futuna.png;files/outlines/Wallis_and_Futuna.png;Wallis and Futuna
270;West_Bank.png;files/outlines/West_Bank.png;West Bank
271;Western_Sahara.png;files/outlines/Western_Sahara.png;Western Sahara
272;Yemen.png;files/outlines/Yemen.png;Yemen
273;Zambia.png;files/outlines/Zambia.png;Zambia
274;Zimbabwe.png;files/outlines/Zimbabwe.png;Zimbabwe
275;eSwatini.png;files/outlines/eSwatini.png;eSwatini
